"PSY_ITEM_ID","PSY_ITEM_VER","SUB_PSY_ITEM_ID","QUESTION_NO","CHOICE_NO","CHOICE_DIRECTION","CHOICE_SCORE","IMG_FILE_PATH","IMG_FILE_NM","MEDIA_FILE_PATH","MEDIA_FILE_NM"
PEER_RELATIONSHIP,V1.0,"20202031",14,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",14,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",14,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",14,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",15,1,전혀 그렇지 않다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",15,2,별로 그렇지 않다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",15,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",15,4,대체로 그렇다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",15,5,매우 그렇다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",16,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",16,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",16,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",16,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",16,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",17,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",17,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",17,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",17,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",17,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",18,1,전혀 그렇지 않다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",18,2,별로 그렇지 않다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",18,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",18,4,대체로 그렇다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",18,5,매우 그렇다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",19,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",19,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",19,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",19,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",19,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",20,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",20,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",20,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",20,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",20,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",21,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",21,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",21,3,보통이다.,3,"",,"",
